Upper_R11,Upper_R12,Upper_R13,Upper_01,Upper_R21,Upper_R22,Upper_R23,Upper_02,Upper_R31,Upper_R32,Upper_R33,Upper_03,Upper_TX,Upper_TY,Upper_TZ,Upper_1
0.925838818078,-0.253465846075,-0.280316870369,0,-0.280269751282,-0.958083364918,-0.05937282529,0,-0.25351794701,0.133534005931,-0.958069579834,0,12.025133644,12.2777235871,5.48091571298,1
0.924601767332,-0.256156395595,-0.281949415396,0,-0.282629568037,-0.957540730966,-0.0568882748179,0,-0.255405753885,0.132286240919,-0.957741223581,0,12.0086132223,12.2416907139,5.46830605871,1
0.924601764837,-0.256156353772,-0.281949461574,0,-0.282629528755,-0.957540743135,-0.0568882651609,0,-0.255405806386,0.132286233824,-0.95774121056,0,12.0086130206,12.2416901945,5.46830570673,1
0.92422479938,-0.256742330894,-0.282651544731,0,-0.282694220687,-0.957661292564,-0.0544869371064,0,-0.256695340436,0.13026213668,-0.957673889143,0,11.9808757543,12.2074971323,5.45823935255,1
0.923171081451,-0.259904261352,-0.283204748026,0,-0.28509965109,-0.957142577367,-0.0509536606986,0,-0.257824248901,0.1277805209,-0.957704962479,0,11.9642810902,12.165027215,5.4420453134,1
0.923089591062,-0.260272624477,-0.283132067809,0,-0.284932157264,-0.957296935204,-0.0489514413075,0,-0.25830074067,0.12585999681,-0.957830876811,0,11.9331223191,12.1278561888,5.43700073596,1
0.922114611909,-0.262055854937,-0.284660098007,0,-0.285982458701,-0.957166405689,-0.0452383149166,0,-0.260612117561,0.123122705925,-0.957560506426,0,11.9029504608,12.0799357894,5.42320464497,1
0.921386115815,-0.263310438431,-0.285858773867,0,-0.286241842051,-0.957286445364,-0.0408444535052,0,-0.262893958551,0.119458254366,-0.957400904544,0,11.8700703823,12.0275309809,5.41032392819,1
0.920756958506,-0.263630015434,-0.287586227634,0,-0.286090237485,-0.957437526203,-0.0382852378088,0,-0.265252708522,0.117527011282,-0.95698923831,0,11.8364421285,11.9875541736,5.40518410008,1
0.919930272738,-0.264991554048,-0.2889771091,0,-0.286918346302,-0.957295631533,-0.0355378165302,0,-0.267219302925,0.115605147515,-0.956676169878,0,11.8067748515,11.9527338611,5.40131697743,1
0.918987996443,-0.267795841357,-0.289389788598,0,-0.289329894362,-0.956641679587,-0.0335396646695,0,-0.2678605507,0.1145516662,-0.956623562928,0,11.7959530113,11.9305887775,5.39931406031,1
0.918247484329,-0.268464935831,-0.291115330674,0,-0.290440090918,-0.956280342212,-0.0342412132754,0,-0.269195302915,0.115993471059,-0.95607499892,0,11.7859935731,11.9436087084,5.41212630937,1
0.917671193294,-0.270216464792,-0.291311934452,0,-0.292955088478,-0.955425057528,-0.0366097744187,0,-0.268434157912,0.118937048909,-0.955927340996,0,11.7939957556,11.990150667,5.42857037638,1
0.916587468209,-0.271114222134,-0.293878362046,0,-0.295508639471,-0.954453334698,-0.0411518636577,0,-0.269336327145,0.12456287746,-0.954956560498,0,11.8022943567,12.0697354802,5.453555537,1
0.916292110448,-0.272252782621,-0.293746813915,0,-0.297920284305,-0.953502040262,-0.0455781023708,0,-0.267679421192,0.129275989927,-0.95479602319,0,11.8189898714,12.1504926839,5.4765877529,1
0.914951780235,-0.275085373362,-0.295281691285,0,-0.301882269583,-0.952115287124,-0.0484104878712,0,-0.267825195149,0.133433569191,-0.954182973782,0,11.835927637,12.2284972175,5.49367272205,1
0.914466517007,-0.274920889623,-0.296933483667,0,-0.303145070519,-0.951489189033,-0.0526439870545,0,-0.268056067816,0.138155085329,-0.953445917137,0,11.8335508634,12.3079548085,5.52141010968,1
0.913857618655,-0.274978687961,-0.298749015049,0,-0.304419234982,-0.950892422608,-0.0559690092722,0,-0.268687889936,0.142092652145,-0.952689086748,0,11.8264922897,12.3727998,5.54479396188,1
0.913132371388,-0.276350342256,-0.299699450549,0,-0.306221270922,-0.950266068108,-0.05677088196,0,-0.269105565827,0.143613676711,-0.952343061245,0,11.8179217576,12.4061229828,5.55515385252,1
0.912569337597,-0.276651826283,-0.301132813043,0,-0.306729921612,-0.950108447083,-0.0566629858836,0,-0.270432910839,0.144075347634,-0.95189722919,0,11.8014875743,12.4314402369,5.55625364684,1
0.911913083782,-0.277171864413,-0.302638869288,0,-0.307987071164,-0.949600335242,-0.0583366720378,0,-0.271216687581,0.146406833468,-0.951318320801,0,11.7918580806,12.4731819257,5.56645045479,1
0.911388056607,-0.27849968952,-0.303001209916,0,-0.309610400151,-0.949032768921,-0.0589762972075,0,-0.271133196772,0.147562618746,-0.951163531238,0,11.7879122768,12.507825182,5.57104498947,1
0.910497310152,-0.279593062257,-0.304667634882,0,-0.311481068324,-0.948318825871,-0.0605883534631,0,-0.27198197051,0.150063733251,-0.950529685849,0,11.7786053028,12.541210527,5.58491802109,1
0.91005424668,-0.279842135636,-0.305760767957,0,-0.311823312295,-0.948227922135,-0.0602497269051,0,-0.273070485422,0.150173855266,-0.950200149014,0,11.7649405177,12.5540037294,5.58680255681,1
0.909879518594,-0.280571492069,-0.305612335291,0,-0.312345794213,-0.948102780951,-0.0595081640591,0,-0.273055610602,0.149601987254,-0.950294627433,0,11.7548835806,12.5604706416,5.58413353458,1
0.909280706982,-0.281838838621,-0.306227799123,0,-0.313646391431,-0.947699681166,-0.0590868467616,0,-0.273559019324,0.149773773947,-0.950122770795,0,11.7528981802,12.5763846333,5.58211110895,1
0.908808849871,-0.282799190825,-0.30674271314,0,-0.314973549315,-0.947206791207,-0.0599246019814,0,-0.273602152089,0.15107584969,-0.949904179385,0,11.7480912018,12.6010315185,5.58439324926,1
