lower_R11,lower_R12,lower_R13,lower_01,lower_R21,lower_R22,lower_R23,lower_02,lower_R31,lower_R32,lower_R33,lower_03,lower_TX,lower_TY,lower_TZ,lower_1
0.940393358957,-0.245888386459,-0.234945167716,0,-0.274446675512,-0.956669721677,-0.0972731511072,0,-0.200846590037,0.155954945513,-0.967129103192,0,12.6821027094,12.5874743846,5.52253838389,1
0.939627911207,-0.248181199587,-0.235596011536,0,-0.277304537082,-0.955638137354,-0.0992871801788,0,-0.200503322152,0.158624848638,-0.966766039536,0,12.6796264583,12.623571743,5.51241344139,1
0.939628002223,-0.248172506494,-0.23560480568,0,-0.277299586653,-0.955638359869,-0.0992988639864,0,-0.20050974211,0.158637108419,-0.9667626964,0,12.6795625613,12.6236468538,5.51242911922,1
0.937911868468,-0.254141522449,-0.236079252697,0,-0.283900770675,-0.953468161385,-0.101483090394,0,-0.199302983915,0.162205276711,-0.966420078853,0,12.6929190326,12.6724578054,5.49840694373,1
0.937629518678,-0.253638378993,-0.237736110856,0,-0.285421226557,-0.952075722998,-0.109938806196,0,-0.198458079034,0.170936802295,-0.965088079134,0,12.6975252956,12.7617041744,5.50398066776,1
0.936844743803,-0.255324571866,-0.239021524158,0,-0.2891948147,-0.949864060486,-0.11884706874,0,-0.196693378537,0.180465037054,-0.963713694642,0,12.7103556342,12.8668923905,5.51193297358,1
0.935666327095,-0.259246114942,-0.239415906382,0,-0.294561037491,-0.947378179887,-0.125333074111,0,-0.194325293087,0.187792534893,-0.962793666527,0,12.7388292824,12.9699744941,5.51329269519,1
0.933618304437,-0.265839398758,-0.240179673762,0,-0.302973458892,-0.943636252821,-0.133258041292,0,-0.191217009776,0.197180213078,-0.961538360515,0,12.7796432695,13.0819854819,5.52308091042,1
0.93310294384,-0.266135658578,-0.241848521662,0,-0.30598225575,-0.940907436655,-0.145148388946,0,-0.188927910492,0.209439745227,-0.959396288171,0,12.8059776281,13.2193649808,5.54696028752,1
0.933165198811,-0.265187223646,-0.242648816489,0,-0.307465958074,-0.93857027684,-0.156686055724,0,-0.186191826765,0.220820225178,-0.957377162772,0,12.8397914869,13.3443539834,5.5708216404,1
0.931526881002,-0.271292288921,-0.24219447546,0,-0.314201941018,-0.935717144717,-0.160345144434,0,-0.183125121793,0.225463786572,-0.95688623708,0,12.8663898422,13.4303756888,5.58437376231,1
0.93059693572,-0.273412641098,-0.243382149955,0,-0.317273382072,-0.934082613378,-0.163790330647,0,-0.182556687791,0.229641457653,-0.956000971061,0,12.8744065386,13.4712836047,5.6021858958,1
0.930293170385,-0.272704259168,-0.245330397967,0,-0.316627265071,-0.934666833923,-0.161694417274,0,-0.185207430059,0.228101505027,-0.955859775938,0,12.8479739118,13.4580708714,5.61652956984,1
0.929388120256,-0.273489959173,-0.247872879029,0,-0.3163036024,-0.936244914256,-0.152962386354,0,-0.190236045574,0.220564509297,-0.956640760266,0,12.8026791619,13.3840168162,5.61578781915,1
0.929653490361,-0.271198132868,-0.249391179853,0,-0.312734355216,-0.938709916752,-0.144985914,0,-0.194786064509,0.212779850831,-0.957487923764,0,12.7517470771,13.2951796268,5.62593279398,1
0.929015397803,-0.272427223683,-0.25042723183,0,-0.311664130023,-0.940888774631,-0.132641561478,0,-0.199488998952,0.201275238344,-0.959005952915,0,12.7026112174,13.1765570995,5.61618212669,1
0.929360327999,-0.270730532293,-0.250986771816,0,-0.308412651415,-0.94303289147,-0.124782218495,0,-0.202906424712,0.193375139275,-0.959914078614,0,12.6597512127,13.0664808733,5.62254763058,1
0.928883701825,-0.271667554834,-0.251737577916,0,-0.307477233057,-0.944553507954,-0.115223355978,0,-0.206477164926,0.184432671352,-0.960911947112,0,12.626820392,12.9684770502,5.61268734398,1
0.928529316205,-0.273435506132,-0.251130111563,0,-0.307732280526,-0.945255216169,-0.108597512993,0,-0.207687631962,0.178116816421,-0.961842111387,0,12.6086984421,12.9102623773,5.61117256247,1
0.928372924486,-0.271889777174,-0.253376522492,0,-0.305806038022,-0.94628030617,-0.105053554265,0,-0.21120222582,0.175012945872,-0.961646550759,0,12.5755558198,12.8693985562,5.62106821331,1
0.926291253057,-0.277819055679,-0.254560575916,0,-0.309546164704,-0.94626115166,-0.0936536426228,0,-0.214862017179,0.165548799938,-0.962511251058,0,12.5416298416,12.7845725049,5.61185911605,1
0.928204101256,-0.271187106034,-0.254744381554,0,-0.302365906246,-0.948769576271,-0.09171232132,0,-0.216822519938,0.162153768574,-0.96264954692,0,12.4923075777,12.739062394,5.62525502242,1
0.926791922042,-0.275695698486,-0.255046299864,0,-0.305524015295,-0.948377745779,-0.085057200695,0,-0.218430330577,0.156753096136,-0.963180490633,0,12.4704551249,12.6788685342,5.61412202042,1
0.926316037334,-0.275985714119,-0.25645756877,0,-0.305266612605,-0.948763942136,-0.0816043952899,0,-0.220796046627,0.153879393369,-0.963104479322,0,12.4419628876,12.6450771678,5.60905180736,1
0.92653040919,-0.274907711331,-0.256840711526,0,-0.303680639588,-0.949473122945,-0.079239244979,0,-0.222079872987,0.151415121623,-0.963199870722,0,12.415641837,12.6177320519,5.60690745743,1
0.925431089207,-0.276675593816,-0.258897498862,0,-0.304154161254,-0.949891803245,-0.0720819555815,0,-0.225981294185,0.145451634283,-0.963211439282,0,12.3736312045,12.5582093092,5.59337675289,1
0.926430039485,-0.27505351184,-0.257046586368,0,-0.300955778913,-0.951299600473,-0.0667434586908,0,-0.22617029221,0.139192800688,-0.964091470328,0,12.3340234278,12.484524734,5.59040958629,1
